imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt9289116,Nicole,Nicole,2019,2019-07-27,"Comedy, Horror",75,USA,English,James Schroeder,James Schroeder,Dopp Kit Media,"Nijah Brenea, Madeline Brumby, Ke'Shawn Bussey, Stephen Wesley Green, Tre Lockhart, Deon Robertson, Tamika Shannon, Darian Wright",This is the story of a first date gone wrong.,3.3,109,,,,,18.0,2.0
tt9296808,Bergmál,Bergmál,2019,2019-11-20,Drama,79,"Iceland, France, Switzerland",Icelandic,Rúnar Rúnarsson,Rúnar Rúnarsson,Nimbus Film Productions,"Sigurmar Albertsson, Bent Kingo Andersen, Sif Arnarsdóttir, Ari Arnarson, Finnur Arnar Arnarson, Árni Arnarson, Gísli Már Arnarsson, Jon Magnus Arnarsson, Pétur Arnarsson, Bragi Arnason, Fannar Freyr Atlason, Sigurjón Þór Atlason, Ólíver Tumi Auðunsson, Álfgrímur Aðalsteinsson, Aron Bragi Baldursson","Everyday life in Iceland around Christmas time: 56 vignettes full of joy, sorrow and thought-provoking situations.",7.2,649,,,$ 16191,83.0,3.0,22.0
tt9297754,Gorg Bazi,Gorg Bazi,2018,2018-10-24,"Drama, Mystery",90,Iran,Persian,Abbas Nezamdoost,"Majid Eslami, Ali Nematollahi",,"Negar Javaherian, Ali Mosaffa, Hanie Tavassoli, Soheila Golestani, Saeed Changizian, Mahsa Alafar, Ehsan Goodarzi, Fahimeh Amanzadeh, Amir Hossein Ghodsi, Hamid Pourazari, George Petrosi, Manouchehr Zendeh Del, Mohammad Reza Maleki, Sudeh Sa'daei",Few old friends one night gather in the inherited house of one of them. But when new guests join them strange things begin to happen for them and the troubles begin.,4.9,231,,,,,5.0,24.0
tt9301428,Deathcember,Deathcember,2019,2019-10-31,Horror,145,Germany,English,"Lazar Bodroza, B.J. Colangelo","Wes Allen, John Cook Lynch",Deathcember,"Cash K. Allen, Wes Allen, Logan Allison, Soledad Amido, Daisy Ashford, Jackie Rae Aubel, Helen Babic, Leonel Barachiel, Brianna Barnes, Louie Bayliss, Luz Fernanda Becerra, Jonathan David Bedard, Joseph Bellerose, Bella Berridge, Rosario Borbolla",A collection of 24 films that take a look at the dark side of the festive season. 24 international directors with the most diverse ideas and styles; linked by short animated segments that deal with the Advent calendar itself.,5.3,119,,,,,3.0,6.0
tt9301884,Hornet,Hornet,2018,2018-12-07,"Action, Adventure, Sci-Fi",86,USA,English,"James Kondelik, Jon Kondelik","James Kondelik, Michael Varrati",Dual Visions,"Shellie Sterling, Madison West, Mark Valeriano, Sallieu Sesay, Doug Burch, Eric Paul Erickson, Dani Inks, Danielle Inks, Jonathan Nation, Tom Konkle, Jennifer Lee Wiggins, Aly Trasher, Ryan Budds, Joe Forbes","When an alien race invades and begins to brainwash humans to carry out acts of destruction, the rest of humanity must rely on an untested giant robot to save the Earth.",1.8,199,,,,,11.0,2.0
tt9302026,Und wer nimmt den Hund?,Und wer nimmt den Hund?,2019,2019-08-08,"Comedy, Drama, Family",89,Germany,German,Rainer Kaufmann,Martin Rauhaus,Majestic Film,"Martina Gedeck, Ulrich Tukur, Lucie Heinze, Angelika Thomas, Marcel Hensema, Giulia Goldammer, Peter Jordan, Julika Jenkins, Marie Rosa Tietjen, Anton Rubtsov","After 26 years of marriage there is a divorce on the way between Georg and Doris. While Georg is having some fun with a much younger co-worker, Doris want the divorce be silenced. Thats why...",5.9,111,,,,,3.0,12.0
tt9302994,Soldier's Heart,Soldier's Heart,2020,2020-06-11,Western,140,USA,English,Michael Feifer,Michael Feifer,Feifer Worldwide,"Neal Bledsoe, Rob Mayes, Savannah Judy, Luke Judy, AnnaLynne McCord, Val Kilmer, Michael Bowen, Jay Pickett, Rick Mora, Tonantzin Carmelo, Peter Sherayko, Jake Busey, Gabrielle Stone, James Russo, Michael Welch","Haunted by wartime horrors, Civil War soldier-turned-bounty-hunter Frank Connor spends his time post-war polishing off two things: whiskey and fugitives.",6.2,724,$ 5000000,,,,24.0,2.0
tt9303120,Kugatsu no Koi to Deau made,Kugatsu no Koi to Deau made,2019,2019-03-01,"Fantasy, Romance",106,Japan,Japanese,Toru Yamamoto,,Chukyo TV Broadcasting Company (CTV),"Issey Takahashi, Haruna Kawaguchi, Mickey Curtis, Yûtarô Furutachi, Kenta Hamano, Rina Kawaei, Yûko Nakamura","Shiori Kitamura just moved to a new apartment. She works at a company. Susumu Hirano lives next door to her. He aspires to become a novelist. One evening, Shiori Kitamura hears a man's ...",6.0,134,,,,,3.0,
tt9303772,Divorce Club,Divorce Club,2020,2020-07-14,Comedy,108,France,French,Michaël Youn,"Matt Alexander, Alexandre Coquelle",Radar Films,"Arnaud Ducret, François-Xavier Demaison, Audrey Fleurot, Caroline Anglade, Youssef Hajdi, Grégoire Bonnet, Michaël Youn, Ornella Fleury, Matteo Salamone, Charlotte Gabris, Jarry, Frédérique Bel, Benjamin Biolay, Marc Riso, Claudia Tagbo","After 5 years of marriage, Ben is still madly in love. Until the day he discovers in public that his wife is cheating on him: humiliated and dumped in the process.",4.8,153,,,$ 4714065,,,5.0
tt9304360,Ayogya,Ayogya,2019,2019-05-10,"Action, Drama",146,India,Telugu,Venkat Mohan,"Venkat Mohan, Vakkantham Vamsi",Light House Movie Makers,"Vishal, Parthiban, K.S. Ravikumar, Raashi Khanna, Pooja Devariya, Anandraj, M.S. Bhaskar, Yogi Babu, Sonia Agarwal, Radha Ravi, Santhana Bharathi, Aadukalam Naren, R.N.R. Manohar, Devadarshini Chetan, Vela Ramamoorthy",A corrupt police officer finds his life changing when he takes on a case of gang rape.,6.1,847,,,$ 42786,,17.0,3.0
